Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
AU-1374,BATTERY GROUP 24F 12V,-- Unbranded --,-- No Unilog Brand --,,3M Co.
LI-1839,LED BULB 9W DIMMABLE,-- Unbranded --,-- No Unilog Brand --,,Signify
HV-1515,AIR FILTER 16X20X1 MERV 11,-- Unbranded --,-- No Unilog Brand --,,3-M Company
LA-1195,STRING TRIMMER 56V CORDLESS,-- Unbranded --,-- No Unilog Brand --,,EGO Power+
FA-1685,WOOD SCREW 2IN PHILLIPS,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong-Tie
HV-1216,THERMOSTAT WIFI 2STAGE,-- Unbranded --,-- No Unilog Brand --,,3M CO
AU-1543,MOTOR OIL 10W-30 SYNTHETIC QT,-- Unbranded --,-- No Unilog Brand --,,3-M Company
HA-1565,DRAWER SLIDE 22IN FULL EXTENSION,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid Commercial
FA-1087,WOOD SCREW 3IN PHILLIPS,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong-Tie
EL-1795,ROMEX WIRE 12/2 500FT SPOOL,-- Unbranded --,-- No Unilog Brand --,,Southwire Company
AU-1088,MOTOR OIL 5W-30 SYNTHETIC QT,-- Unbranded --,-- No Unilog Brand --,,INTERSTATE BATTERY SYSTEM
TO-1120,IMPACT WRENCH 3/4IN DRIVE,-- Unbranded --,-- No Unilog Brand --,,MAKITA U.S.A. INC.
LI-1254,SHOP LIGHT LED 8FT LINKABLE,-- Unbranded --,-- No Unilog Brand --,,Signify
FA-1763,HEX BOLT GR8 ZN 3/8-16 X 1IN,-- Unbranded --,-- No Unilog Brand --,,Simpson
AU-1478,BATTERY GROUP 65 12V,-- Unbranded --,-- No Unilog Brand --,,3M Company
LI-1176,LED BULB 15W DIMMABLE,-- Unbranded --,-- No Unilog Brand --,,Philips Lighting
LA-1416,CORDLESS MOWER 56IN 56V,-- Unbranded --,-- No Unilog Brand --,,EGO POWER PLUS
AB-1187,SANDING DISC 80GRIT 5IN,-- Unbranded --,-- No Unilog Brand --,,NORTON ABRASIVES INC
SA-1160,NITRILE GLOVE PF LG 100CT,-- Unbranded --,-- No Unilog Brand --,,Honeywell Inc
EL-1522,ROMEX WIRE 12/2 250FT SPOOL,-- Unbranded --,-- No Unilog Brand --,,Leviton Mfg
SA-1615,SAFETY GLASSES CLEAR LENS ANTI-FOG,-- Unbranded --,-- No Unilog Brand --,,ANSELL LTD.
HA-1396,CABINET HINGE 165DEG SOFT CLOSE,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid
FA-1269,WOOD SCREW 3IN PHILLIPS,-- Unbranded --,-- No Unilog Brand --,,Simpson
FA-1620,HEX BOLT GR8 ZN 1/2-16 X 1IN,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong Tie Co
FA-1542,HEX BOLT GR8 ZN 3/8-16 X 1IN,-- Unbranded --,-- No Unilog Brand --,,SIMPSON STRONG TIE CO.
LI-1488,LED BULB 9W DIMMABLE,-- Unbranded --,-- No Unilog Brand --,,Signify
HA-1032,DRAWER SLIDE 22IN FULL EXTENSION,-- Unbranded --,-- No Unilog Brand --,,Simpson
AD-1311,EPOXY 8OZ TUBE 5MIN,-- Unbranded --,-- No Unilog Brand --,,3M Company
JA-1167,TRASH CAN 44GAL COMMERCIAL,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid Commercial
AB-1668,SANDING DISC 220GRIT 5IN,-- Unbranded --,-- No Unilog Brand --,,Norton
EL-1470,ROMEX WIRE 12/2 500FT SPOOL,-- Unbranded --,-- No Unilog Brand --,,Southwire
SA-1472,NITRILE GLOVE PF MED 100CT,-- Unbranded --,-- No Unilog Brand --,,Ansell Limited
AU-1764,BATTERY GROUP 65 12V,-- Unbranded --,-- No Unilog Brand --,,Interstate Batteries
HA-1097,DRAWER SLIDE 24IN FULL EXTENSION,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid
PL-1677,PVC BALL VALVE 3/4IN THREADED,-- Unbranded --,-- No Unilog Brand --,,Grundfos Pumps Corp
AB-1031,CUT-OFF WHEEL 4-1/2IN METAL,-- Unbranded --,-- No Unilog Brand --,,3M CO
AB-1447,CUT-OFF WHEEL 6IN METAL,-- Unbranded --,-- No Unilog Brand --,,Norton Abrasives
FA-1750,WOOD SCREW 1-1/4IN PHILLIPS,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong-Tie
TO-1497,IMPACT WRENCH 1/2IN DRIVE,-- Unbranded --,-- No Unilog Brand --,,Milwaukee Electric Tool Corp
HA-1253,CABINET HINGE 110DEG SOFT CLOSE,-- Unbranded --,-- No Unilog Brand --,,Simpson
FA-1126,HEX BOLT GR8 ZN 3/8-16 X 1IN,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong-Tie
HV-1814,AIR FILTER 16X25X1 MERV 11,-- Unbranded --,-- No Unilog Brand --,,Honeywell Intl
HA-1240,DRAWER SLIDE 22IN FULL EXTENSION,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong-Tie
HA-1708,CABINET HINGE 110DEG SOFT CLOSE,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid
FA-1256,WOOD SCREW 2IN PHILLIPS,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong Tie Co
FA-1581,WOOD SCREW 3IN PHILLIPS,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong Tie Co
AB-1733,SANDING DISC 220GRIT 5IN,-- Unbranded --,-- No Unilog Brand --,,Norton Abrasives
HV-1853,THERMOSTAT WIFI 1STAGE,-- Unbranded --,-- No Unilog Brand --,,Honeywell International
FA-1308,HEX BOLT GR8 ZN 3/8-16 X 1IN,-- Unbranded --,-- No Unilog Brand --,,Simpson Strong Tie Co
HA-1305,DRAWER SLIDE 22IN FULL EXTENSION,-- Unbranded --,-- No Unilog Brand --,,Simpson
AB-1356,CUT-OFF WHEEL 4-1/2IN METAL,-- Unbranded --,-- No Unilog Brand --,,3M Company
SA-1550,HARD HAT TYPE 1 CLASS E,-- Unbranded --,-- No Unilog Brand --,,Honeywell Inc
HA-1578,DRAWER SLIDE 22IN FULL EXTENSION,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid Commercial
JA-1674,PAPER TOWEL ROLL 12CT CASE,-- Unbranded --,-- No Unilog Brand --,,Rubbermaid Commercial
